36136.118,af26,342,285,-1437,0,146
36144.096,af26,312,249,-1624,0,147
36152.081,af26,239,235,-1827,0,148
36160.057,af26,263,227,-1901,0,149
36168.037,af26,249,252,-1831,0,150
36176.026,af26,262,294,-1699,0,151
36184.003,af26,319,341,-1500,0,152
36191.978,af26,369,391,-1364,0,153
36199.958,af26,346,435,-1214,0,154
36207.941,af26,372,445,-1086,0,155
36215.92,af26,356,464,-1065,0,156
36223.893,af26,360,447,-1169,0,157
36231.876,af26,354,413,-1321,0,158
36239.85,af26,324,356,-1445,0,159
36247.827,af26,311,318,-1565,0,160
36255.813,af26,288,286,-1680,0,161
36263.809,af26,256,261,-1764,0,162
36271.814,af26,273,266,-1770,0,163
36279.804,af26,270,299,-1684,0,164
36287.798,af26,321,353,-1543,0,165
36295.791,af26,379,396,-1428,0,166
36303.793,af26,510,602,-1388,0,167
36311.788,af26,292,1341,-1191,0,168
36319.778,af26,188,1813,-1206,0,169
36327.774,af26,300,2568,-1178,0,170
36335.762,af26,206,2497,-1300,0,171
36343.762,af26,1,2196,-1376,0,172
36351.763,af26,123,1844,-1319,0,173
36359.769,af26,-196,1099,-1340,0,174
36367.758,af26,-93,583,-1522,0,175
36375.756,af26,-185,225,-1590,0,176
36383.759,af26,-317,240,-1511,0,177
36391.754,af26,194,96,-1494,0,178
36399.745,af26,-45,176,-1530,0,179
36407.736,af26,90,139,-1611,0,180
36415.732,af26,-222,166,-1607,0,181
36423.719,af26,-26,201,-1352,0,182
36431.711,af26,70,293,-1404,0,183
36439.695,af26,527,349,-1366,0,184
36447.685,af26,32,462,-1443,0,185
36455.683,af26,-59,515,-1397,0,186
36463.676,af26,-37,480,-1430,0,187
36471.67,af26,-14,586,-1392,0,188
36479.661,af26,28,555,-1515,0,189
36487.661,af26,177,550,-1529,0,190
36495.654,af26,-307,338,-1505,0,191
36503.645,af26,111,189,-1483,0,192
36511.645,af26,12,91,-1498,0,193
36519.657,af26,62,-253,-1561,0,194
36527.654,af26,20,-4,-1682,0,195
36535.642,af26,-71,-816,-1658,0,196
36543.628,af26,-55,-1401,-1647,0,197
36551.623,af26,125,-2155,-1436,0,198
36559.613,af26,178,-2341,-1407,0,199
36567.61,af26,263,-2156,-1258,0,200
36575.598,af26,222,-1713,-1037,0,201
36583.596,af26,301,-975,-690,0,202
36591.6,af26,300,-306,-590,0,203
36599.593,af26,395,379,-798,0,204
36607.58,af26,-65,308,-1363,0,205
36615.59,af26,78,402,-1711,0,206
36623.585,af26,-64,1131,-1993,0,207
36631.565,af26,-369,1558,-2194,0,208
36639.561,af26,32,1619,-2121,0,209
36647.555,af26,134,1758,-2147,0,210
36655.553,af26,181,2134,-1847,0,211
36663.541,af26,191,1865,-1667,0,212
36671.529,af26,373,1305,-1067,0,213
36679.528,af26,351,954,-565,0,214
36687.521,af26,473,595,-426,0,215
36695.515,af26,445,237,-702,0,216
36703.505,af26,415,152,-1073,0,217
36711.506,af26,413,170,-1308,0,218
36719.497,af26,334,75,-1444,0,219
36727.483,af26,271,23,-1699,0,220
36735.462,af26,239,-43,-2093,0,221
36743.438,af26,296,-35,-2296,0,222
36751.42,af26,153,-10,-2112,0,223
36759.407,af26,190,13,-1848,0,224
36767.392,af26,270,110,-1628,0,225
36775.378,af26,284,263,-1354,0,226
36783.353,af26,386,399,-1103,0,227
36791.343,af26,498,520,-870,0,228
36799.323,af26,452,573,-819,0,229
36807.297,af26,426,571,-966,0,230
36815.278,af26,401,589,-1193,0,231
36823.273,af26,331,598,-1435,0,232
36831.258,af26,294,546,-1646,0,233
36839.236,af26,253,518,-1855,0,234
36847.218,af26,211,505,-1956,0,235
36855.201,af26,227,463,-1928,0,236
36863.195,af26,214,407,-1748,0,237
36871.183,af26,278,411,-1570,0,238
